wand_ids;layer;postion[mm];diameters[mm];class;pore_ids_ct;sphericity;volume [mm3]
fit12;1;139.859207153;0.53643775;oel;3979;0.46;0.004626404
fit12;1;139.962425232;0.191764832;oel;4015;0.73;0.002184671
fit12;2;0.2122268680000161;0.214100599;oel;4027;0.64;0.002441724
fit12;2;0.2542495729999814;0.236225143;oel;4054;0.65;0.003855363
fit12;2;0.3997802730000046;0.295718193;oel;448;0.64;0.007839225
fit12;2;0.5245513920000064;0.23300983;oel;452;0.72;0.003598269
fit12;2;0.6815490719999957;0.247220516;oel;4039;0.67;0.003212802
fit12;2;0.757270812999991;0.482311219;oel;462;0.63;0.018248588
fit12;2;1.4707641599999874;0.369181305;oel;2985;0.53;0.003212811
fit12;2;1.5405426030000058;0.23254928;oel;3158;0.71;0.003341333
fit12;2;1.7420730590000062;0.208067298;oel;2983;0.67;0.002056182
fit12;2;2.246574401999993;0.214101046;oel;3188;0.61;0.002570213
fit12;2;9.264602660999998;0.305250257;oel;2623;0.7;0.008353204
fit12;2;10.456405640000014;0.199061662;oel;2628;0.69;0.002313216
fit12;2;11.121513367000006;0.214101046;oel;3532;0.66;0.002570222
fit12;2;12.534011840999995;0.201858521;oel;505;0.67;0.002184647
fit12;2;13.028152465999995;0.214101493;oel;558;0.64;0.003598315
fit12;2;13.740821838000002;0.276401281;oel;576;0.64;0.004883513
fit12;2;14.203788756999998;0.276401281;oel;3379;0.59;0.002955792
fit12;2;14.367156981999997;0.259826928;oel;3347;0.61;0.002441728
fit12;2;14.422157287999994;0.33707431;oel;3427;0.61;0.010666375
fit12;2;14.653320312000005;0.534132004;oel;3371;0.45;0.011052012
fit12;2;14.805442810000002;0.249107718;oel;3384;0.69;0.004240904
fit12;2;15.030288696;0.334737599;oel;3412;0.57;0.004754963
fit12;2;15.237792968999997;0.522681296;oel;3372;0.43;0.008096192
fit12;2;15.700119018999999;0.262218237;oel;3662;0.61;0.002955778
fit12;2;15.976394653;0.281200945;oel;3682;0.6;0.003726874
fit12;2;15.977493285999998;0.367382288;oel;3507;0.62;0.0075822
fit12;2;16.032489776999995;0.262490004;oel;3705;0.61;0.002570264
fit12;2;17.797889709000003;0.311079293;oel;2451;0.55;0.002313197
fit12;2;19.315399170000006;0.191766515;oel;1159;0.67;0.002056178
fit12;2;19.963817596;0.28162691;oel;1146;0.65;0.005911497
fit12;2;20.290405273000005;0.302925289;oel;2521;0.64;0.008096201
fit12;2;20.58915329;0.380995065;oel;2574;0.6;0.005397482
fit12;2;21.061023712000008;0.507155478;oel;2564;0.52;0.006554054
fit12;2;21.616622925;0.236748815;oel;2601;0.69;0.003084322
fit12;2;21.765430449999997;0.252521843;oel;2563;0.66;0.005140352
fit12;2;22.27484130900001;0.398637027;oel;3924;0.59;0.015292889
fit12;2;22.900634765999996;0.475049078;oel;3934;0.64;0.027758587
fit12;2;23.09127807600001;0.246658117;oel;3912;0.65;0.004369427
fit12;2;23.879646301000008;0.318952233;oel;2650;0.66;0.007839206
fit12;2;23.924694060999997;0.657966852;oel;2605;0.52;0.019790778
fit12;2;24.202278137000008;0.278987706;oel;2652;0.66;0.005397567
fit12;2;24.667964935;0.593171179;oel;2617;0.5;0.01375076
fit12;2;24.74217224099999;0.281741202;oel;2646;0.66;0.005911611
fit12;2;25.059242248999993;0.294945061;oel;2629;0.66;0.007967618
fit12;2;25.074188231999997;0.247429356;oel;1577;0.66;0.004626437
fit12;2;25.396236420000008;0.584162593;oel;1664;0.55;0.023646079
fit12;2;27.092582703000005;0.287051111;oel;1859;0.67;0.006425542
fit12;2;27.26882171599999;0.686381698;oel;1696;0.45;0.016834987
fit12;2;27.390163422;0.331100821;oel;1902;0.63;0.011180477
fit12;2;27.720649718999994;0.250017226;oel;1904;0.59;0.002184727
fit12;2;27.962097168;0.234136388;oel;1888;0.63;0.003212821
fit12;2;28.138938904;0.2557908;oel;1920;0.7;0.004497805
fit12;2;28.547870636;0.312158257;oel;490;0.67;0.009509832
fit12;2;28.68046188400001;0.374732077;oel;601;0.62;0.009124289
fit12;2;28.88616943400001;0.214470625;oel;526;0.64;0.002570217
fit12;2;29.726974487000007;0.284989059;oel;3950;0.66;0.006811149
fit12;2;31.747447968000003;0.246658191;oel;1923;0.68;0.004626474
fit12;2;32.004760742;0.225681275;oel;1953;0.68;0.002827236
fit12;2;32.291824340999995;0.234734654;oel;1956;0.67;0.003855387
fit12;2;32.84786987300001;0.413065434;oel;1924;0.59;0.010795024
fit12;2;33.331558228000006;0.209710181;oel;3109;0.66;0.002441667
fit12;2;33.336143494;0.268190831;oel;3135;0.67;0.005140551
fit12;2;36.654003143;0.221224755;oel;1686;0.66;0.002570273
fit12;2;37.00540542600001;0.329229176;oel;1610;0.64;0.010923446
fit12;2;37.57484054599999;0.344219595;oel;1614;0.66;0.012465673
fit12;2;37.864238739;0.234296128;oel;1692;0.67;0.003855321
fit12;2;38.450939178;0.239525557;oel;2926;0.67;0.003726916
fit12;2;38.68910217300001;0.442818582;oel;2924;0.55;0.011052068
fit12;2;39.481906890999994;0.231254235;oel;2923;0.69;0.00231323
fit12;2;40.097816467;0.276402682;oel;86;0.65;0.005525999
fit12;2;41.865005493;0.234731719;oel;2442;0.69;0.003212735
fit12;2;42.382339478000006;0.219322175;oel;2453;0.64;0.002441666
fit12;2;42.79378128100001;0.342262715;oel;2461;0.53;0.003341324
fit12;2;43.053070068;0.257316023;oel;2737;0.69;0.004240947
fit12;2;43.33921051;0.288401753;oel;2750;0.62;0.003726818
fit12;2;44.095268250000004;0.41918543;oel;2752;0.53;0.00745362
fit12;2;44.834445953;0.30715397;oel;3745;0.6;0.005140389
fit12;2;44.888832092;0.37002185;oel;2883;0.67;0.017092098
fit12;2;45.157909393;0.481255263;oel;2953;0.62;0.034055728
fit12;2;45.195030212000006;0.259830713;oel;3541;0.6;0.003726938
fit12;2;45.38172912600001;0.227024078;oel;72;0.68;0.002698696
fit12;2;46.343498229999994;0.342266917;oel;1141;0.66;0.012080082
fit12;2;46.684432982999994;0.220308289;oel;1151;0.64;0.002056148
fit12;2;48.171834946000004;0.259826362;oel;2382;0.62;0.004112314
fit12;2;48.625379562000006;0.209484845;oel;2385;0.66;0.002313201
fit12;2;49.114364624000004;0.28029561;oel;2380;0.65;0.005268927
fit12;2;50.246318817;0.219318226;oel;3433;0.69;0.002570221
fit12;2;51.93885231;0.323329359;oel;948;0.58;0.002955714
fit12;2;52.341190338000004;0.280294895;oel;954;0.67;0.006682746
fit12;2;53.082523346;0.409968853;oel;2393;0.53;0.004369364
fit12;2;54.71811676;0.41918543;oel;492;0.54;0.006168625
fit12;2;56.013460159000005;0.28989324;oel;2946;0.68;0.007325137
fit12;2;60.192321777000004;0.435589612;oel;2568;0.5;0.006554107
fit12;2;62.34615135199999;0.298548579;oel;1616;0.67;0.004883314
fit12;2;62.488277435;0.298548251;oel;2655;0.63;0.002827217
fit12;2;62.742319107;0.199060589;oel;2656;0.7;0.002184715
fit12;2;63.217184067000005;0.229424074;oel;2577;0.65;0.002827296
fit12;2;64.272525787;0.241477534;oel;3300;0.63;0.003726942
fit12;2;65.164199829;0.298548579;oel;3314;0.57;0.003212864
fit12;2;65.55899334;0.237134099;oel;3326;0.65;0.003212863
fit12;2;66.106656075;0.716968656;oel;4037;0.66;0.127483979
fit12;2;66.265299797;0.206017882;oel;4005;0.74;0.002570231
fit12;2;68.063514709;0.326442122;oel;2212;0.65;0.010023912
fit12;2;68.784090042;0.519649744;oel;2214;0.54;0.019662239
fit12;2;69.263846397;0.225015447;oel;3618;0.59;0.00269872
fit12;2;69.50858593;0.419173956;oel;3897;0.54;0.008224596
fit12;2;71.240461349;0.323126525;oel;2450;0.53;0.002056186
fit12;2;71.844065666;0.234057218;oel;2705;0.59;0.002056123
fit12;2;71.94110775;0.28989324;oel;2757;0.56;0.003598274
fit12;2;72.316583157;0.557391226;oel;2358;0.43;0.00861022
fit12;2;72.614570618;0.209485739;oel;2235;0.64;0.002056107
fit12;2;72.79586839699999;0.229240313;oel;2499;0.64;0.003341351
fit12;2;73.838569641;0.298549235;oel;568;0.65;0.004754915
fit12;2;75.603118896;0.220426038;oel;309;0.61;0.002184699
fit12;2;75.840736866;0.241480857;oel;225;0.64;0.004240812
fit12;2;76.775422812;0.342262715;oel;326;0.57;0.004112491
fit12;2;80.030848781;0.231254652;oel;2850;0.64;0.00244162
fit12;2;80.722531617;0.545849621;oel;3936;0.56;0.019791007
fit12;2;81.24615681200001;0.686783493;oel;3944;0.49;0.036368601
fit12;2;81.455377817;0.272805274;oel;3941;0.62;0.004498023
fit12;2;81.522525907;0.412377238;oel;3952;0.65;0.01696354
fit12;2;81.829678059;0.221890271;oel;3953;0.67;0.003212721
fit12;2;82.058233023;0.247513026;oel;1521;0.7;0.004112288
fit12;2;82.84679985;0.225682974;oel;1537;0.69;0.002570222
fit12;2;82.895714521;0.257318258;oel;1510;0.67;0.005140404
fit12;2;83.122046947;0.214103296;oel;1542;0.63;0.00269871
fit12;2;83.48720717399999;0.214100599;oel;1549;0.63;0.002698784
fit12;2;83.66561269799999;0.188817784;oel;2970;0.73;0.002056225
fit12;2;83.922210693;0.555950105;oel;3002;0.66;0.061556928
fit12;2;84.24636888500001;0.241477564;oel;3064;0.68;0.003598393
fit12;2;84.29473543200001;0.28989324;oel;2940;0.63;0.005268906
fit12;2;84.890793324;0.27273041;oel;3069;0.59;0.002827243
fit12;2;85.249978065;0.271420151;oel;2280;0.67;0.005783138
fit12;2;85.530699253;0.31107837;oel;2281;0.56;0.002441757
fit12;2;85.66840744000001;0.257316023;oel;2029;0.68;0.004626497
fit12;2;85.840970516;0.262910694;oel;2337;0.7;0.004369319
fit12;2;85.962054729;0.348062038;oel;2148;0.63;0.012208668
fit12;2;86.286723614;0.214098796;oel;2269;0.7;0.002056192
fit12;2;86.330629826;0.21174778;oel;2407;0.68;0.002698773
fit12;2;86.37250184999999;0.353736788;oel;2284;0.64;0.008867254
fit12;2;86.65395450599999;0.409961104;oel;2360;0.57;0.007068148
fit12;2;86.78037452699999;0.410699427;oel;2359;0.64;0.023132008
fit12;2;86.982680321;0.219108969;oel;831;0.66;0.002441733
fit12;2;87.137475967;0.211195722;oel;904;0.66;0.00244167
fit12;2;87.612388611;0.212250203;oel;4009;0.66;0.002441678
fit12;2;87.63577747299999;0.234058857;oel;156;0.68;0.002827222
fit12;2;87.646650314;0.328128725;oel;820;0.64;0.0078392
fit12;2;87.979380608;0.252319336;oel;917;0.67;0.003855362
fit12;2;88.451158524;0.419190019;oel;39;0.62;0.006939506
fit12;2;88.5325737;0.319604129;oel;155;0.64;0.008995957
fit12;2;89.218524933;0.211198941;oel;158;0.64;0.002056172
fit12;2;90.600166321;0.199061394;oel;1299;0.71;0.002698754
fit12;2;91.186335564;0.337080359;oel;1297;0.65;0.011566001
fit12;2;91.749233246;0.377176583;oel;2247;0.66;0.014907317
fit12;2;93.429190636;0.233852997;oel;3226;0.62;0.002313226
fit12;2;93.705886841;0.436298311;oel;3242;0.56;0.009767042
fit12;2;94.08922958400001;0.214103296;oel;3201;0.63;0.002955809
fit12;2;94.337272644;0.208071932;oel;3208;0.74;0.00257031
fit12;2;95.261481285;0.191762388;oel;1094;0.67;0.002056211
fit12;2;96.57043075600001;0.209485739;oel;3246;0.64;0.002056127
fit12;2;97.295578003;0.257317156;oel;3121;0.63;0.002955696
fit12;2;97.440532684;0.214103296;oel;3172;0.66;0.002698767
fit12;2;97.536886215;0.211748734;oel;3146;0.7;0.002827241
fit12;2;97.625211716;0.193810835;oel;3149;0.64;0.00205625
fit12;2;97.80295181299999;0.286605209;oel;3120;0.66;0.006039932
fit12;2;98.262496948;0.515895724;oel;2070;0.48;0.0060401
fit12;2;98.309577942;0.221888348;oel;2257;0.7;0.002827252
fit12;2;98.346666336;0.219501182;oel;3045;0.7;0.00295575
fit12;2;98.603271484;0.451360852;oel;2956;0.6;0.012079945
fit12;2;98.785596848;0.250252694;oel;2223;0.69;0.00424074
fit12;2;98.99190902699999;0.298547626;oel;2965;0.57;0.003084287
fit12;2;99.138460159;0.40633437;oel;2330;0.67;0.021461565
fit12;2;99.286628723;0.481393695;oel;2431;0.61;0.012208386
fit12;2;99.372303009;0.342260808;oel;2939;0.6;0.007839045
fit12;2;99.533109665;0.281641811;oel;3004;0.63;0.004369409
fit12;2;99.69328117399999;0.342263848;oel;2937;0.63;0.014264905
fit12;2;99.89888382;0.36046508;oel;2913;0.65;0.013622255
fit12;2;100.025104523;0.2985515;oel;2378;0.57;0.003726762
fit12;2;100.078565598;0.28989324;oel;3055;0.65;0.007839094
fit12;2;100.08833313;0.887063384;oel;3354;0.37;0.036754403
fit12;2;100.122322083;0.287756324;oel;3737;0.66;0.00668254
fit12;2;100.189315796;0.443251222;oel;2943;0.57;0.009381289
fit12;2;100.261129379;0.428198934;oel;3369;0.56;0.009252853
fit12;2;100.262636185;0.295251518;oel;3008;0.66;0.007196606
fit12;2;100.64100647000001;0.383739442;oel;2794;0.67;0.011566
fit12;2;100.748901367;0.578112304;oel;3275;0.57;0.024802633
fit12;2;100.779354095;0.298547298;oel;2915;0.57;0.003341321
fit12;2;100.809896469;0.293935418;oel;3751;0.66;0.008096139
fit12;2;100.950180054;0.257318705;oel;3028;0.62;0.003726775
fit12;2;100.954950333;0.236147657;oel;3715;0.66;0.003341268
fit12;2;101.002283096;0.231257156;oel;3470;0.66;0.002441674
fit12;2;101.095014572;0.394132078;oel;2557;0.57;0.005140507
fit12;2;101.34453201299999;0.485598296;oel;3370;0.47;0.009252934
fit12;2;101.414422989;0.323126525;oel;1949;0.64;0.002441768
fit12;2;101.45731925999999;0.214102387;oel;751;0.66;0.002313201
fit12;2;101.609672546;0.406853646;oel;2982;0.56;0.005011896
fit12;2;101.616380692;0.208063602;oel;874;0.64;0.00205624
fit12;2;101.708553314;0.588661432;oel;666;0.48;0.013365188
fit12;2;101.76855278;0.528766334;oel;1232;0.61;0.032513335
fit12;2;101.789737701;0.300167441;oel;2887;0.62;0.006939741
fit12;2;102.00650405900001;0.346052349;oel;889;0.59;0.004883486
fit12;2;102.07420349099999;0.257318646;oel;1367;0.7;0.005397414
fit12;2;102.092964172;0.23703222;oel;2651;0.7;0.003469794
fit12;2;102.255140305;0.225681275;oel;3044;0.66;0.002441713
fit12;2;102.27892303499999;0.474777371;oel;1996;0.57;0.011308761
fit12;2;102.350887299;0.34552747;oel;1933;0.65;0.013108156
fit12;2;102.497488022;0.29987368;oel;2615;0.69;0.007967799
fit12;2;102.698682785;0.526122272;oel;2760;0.64;0.030842759
fit12;2;103.348022461;0.280184716;oel;1170;0.68;0.006425635
fit12;2;103.858564377;0.231256321;oel;1161;0.69;0.003855327
fit12;2;104.230537415;0.264148444;oel;1162;0.7;0.006039982
fit12;2;104.430065155;0.234133586;oel;1233;0.68;0.003598444
